5M;5-9M;0-9M;Thap;*
6M;5-9M;0-9M;Thap;*
7M;5-9M;0-9M;Thap;*
8M;5-9M;0-9M;Thap;*
9M;5-9M;0-9M;Thap;*
10M;10-14M;10-19M;Thap;*
11M;10-14M;10-19M;Thap;*
12M;10-14M;10-19M;Thap;*
13M;10-14M;10-19M;Thap;*
14M;10-14M;10-19M;Thap;*
15M;15-19M;10-19M;Trung Binh;*
16M;15-19M;10-19M;Trung Binh;*
17M;15-19M;10-19M;Trung Binh;*
18M;15-19M;10-19M;Trung Binh;*
19M;15-19M;10-19M;Trung Binh;*
20M;20-24M;20-29M;Trung Binh;*
21M;20-24M;20-29M;Trung Binh;*
22M;20-24M;20-29M;Trung Binh;*
23M;20-24M;20-29M;Trung Binh;*
24M;20-24M;20-29M;Trung Binh;*
25M;25-29M;20-29M;Trung Binh;*
26M;25-29M;20-29M;Trung Binh;*
27M;25-29M;20-29M;Trung Binh;*
28M;25-29M;20-29M;Trung Binh;*
29M;25-29M;20-29M;Trung Binh;*
30M;30-34M;30-39M;Trung Binh;*
31M;30-34M;30-39M;Trung Binh;*
32M;30-34M;30-39M;Trung Binh;*
33M;30-34M;30-39M;Trung Binh;*
34M;30-34M;30-39M;Trung Binh;*
35M;35-39M;30-39M;Trung Binh;*
36M;35-39M;30-39M;Trung Binh;*
37M;35-39M;30-39M;Trung Binh;*
38M;35-39M;30-39M;Trung Binh;*
39M;35-39M;30-39M;Trung Binh;*
40M;40-44M;40-49M;Cao;*
41M;40-44M;40-49M;Cao;*
42M;40-44M;40-49M;Cao;*
43M;40-44M;40-49M;Cao;*
44M;40-44M;40-49M;Cao;*
45M;45-49M;40-49M;Cao;*
46M;45-49M;40-49M;Cao;*
47M;45-49M;40-49M;Cao;*
48M;45-49M;40-49M;Cao;*
49M;45-49M;40-49M;Cao;*
50M;50-54M;50-59M;Cao;*
51M;50-54M;50-59M;Cao;*
52M;50-54M;50-59M;Cao;*
53M;50-54M;50-59M;Cao;*
54M;50-54M;50-59M;Cao;*
55M;55-59M;50-59M;Cao;*
56M;55-59M;50-59M;Cao;*
57M;55-59M;50-59M;Cao;*
58M;55-59M;50-59M;Cao;*
59M;55-59M;50-59M;Cao;*
60M;60-64M;60-69M;Cao;*
61M;60-64M;60-69M;Cao;*
62M;60-64M;60-69M;Cao;*
63M;60-64M;60-69M;Cao;*
64M;60-64M;60-69M;Cao;*
65M;65-69M;60-69M;Cao;*
66M;65-69M;60-69M;Cao;*
67M;65-69M;60-69M;Cao;*
68M;65-69M;60-69M;Cao;*
69M;65-69M;60-69M;Cao;*
70M;70-74M;70-79M;Cao;*
71M;70-74M;70-79M;Cao;*
72M;70-74M;70-79M;Cao;*
73M;70-74M;70-79M;Cao;*
74M;70-74M;70-79M;Cao;*
75M;75-79M;70-79M;Cao;*
76M;75-79M;70-79M;Cao;*
77M;75-79M;70-79M;Cao;*
78M;75-79M;70-79M;Cao;*
79M;75-79M;70-79M;Cao;*
80M;80-84M;80-89M;Cao;*
81M;80-84M;80-89M;Cao;*
82M;80-84M;80-89M;Cao;*
83M;80-84M;80-89M;Cao;*
84M;80-84M;80-89M;Cao;*
85M;85-89M;80-89M;Cao;*
86M;85-89M;80-89M;Cao;*
87M;85-89M;80-89M;Cao;*
88M;85-89M;80-89M;Cao;*
89M;85-89M;80-89M;Cao;*
90M;90-94M;90-99M;Cao;*
91M;90-94M;90-99M;Cao;*
92M;90-94M;90-99M;Cao;*
93M;90-94M;90-99M;Cao;*
94M;90-94M;90-99M;Cao;*
95M;95-99M;90-99M;Cao;*
96M;95-99M;90-99M;Cao;*
97M;95-99M;90-99M;Cao;*
98M;95-99M;90-99M;Cao;*
99M;95-99M;90-99M;Cao;*
100M;100-104M;100-109M;Cao;*
