Dataset,Algorithm,Run_ID,Best_Fitness,Info_Loss,Accuracy_Original,Accuracy_After,Execution_Time_s,K_Violations,L_Violations,Iterations,Success,Solution_Vector
italia,ARO-APO,7,105.0,0.5,0.15,0.2,53.10283899307251,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,6,105.0,0.5,0.15,0.2,54.53031039237976,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,5,105.0,0.5,0.15,0.2,62.36734127998352,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,9,105.0,0.5,0.15,0.2,62.62143158912659,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,2,105.0,0.5,0.15,0.2,62.902321100234985,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,1,105.0,0.5,0.15,0.2,72.53157496452332,0,0,4,1,"[1, 3, 5]"
italia,ARO-APO,3,105.0,0.5,0.15,0.2,73.75276947021484,0,0,4,1,"[1, 3, 5]"
italia,ARO-APO,4,105.0,0.5,0.15,0.2,75.31261968612671,0,0,5,1,"[1, 3, 5]"
italia,ARO-APO,10,105.0,0.5,0.15,0.2,93.96191787719728,0,0,8,1,"[1, 3, 5]"
italia,ARO-APO,8,105.0,0.5,0.15,0.2,102.72750902175903,0,0,10,1,"[1, 3, 5]"
italia,ARO-APO,13,105.0,0.5,0.15,0.2,54.65588569641113,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,15,105.0,0.5,0.15,0.2,64.58987832069397,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,18,105.0,0.5,0.15,0.2,54.77909755706787,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,14,105.0,0.5,0.15,0.2,73.65235352516174,0,0,4,1,"[1, 3, 5]"
italia,ARO-APO,17,105.0,0.5,0.15,0.2,64.2013611793518,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,11,105.0,0.5,0.15,0.2,86.11582970619202,0,0,6,1,"[1, 3, 5]"
italia,ARO-APO,12,105.0,0.5,0.15,0.2,86.42435789108276,0,0,6,1,"[1, 3, 5]"
italia,ARO-APO,16,105.0,0.5,0.15,0.2,85.31589770317078,0,0,6,1,"[1, 3, 5]"
italia,ARO-APO,22,105.0,0.5,0.15,0.2,55.10836982727051,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,26,105.0,0.5,0.15,0.2,54.42753076553345,0,0,1,1,"[1, 3, 5]"
italia,ARO-APO,23,105.0,0.5,0.15,0.2,64.47217726707458,0,0,2,1,"[1, 3, 5]"
italia,ARO-APO,20,105.0,0.5,0.15,0.2,94.79631543159483,0,0,8,1,"[1, 3, 5]"
italia,ARO-APO,19,105.0,0.5,0.15,0.2,106.3439588546753,0,0,10,1,"[1, 3, 5]"
italia,ARO-APO,25,105.0,0.5,0.15,0.2,66.20407199859619,0,0,3,1,"[1, 3, 5]"
italia,ARO-APO,24,105.0,0.5,0.15,0.2,75.42331504821777,0,0,4,1,"[1, 3, 5]"
italia,ARO-APO,21,105.0,0.5,0.15,0.2,99.3707480430603,0,0,9,1,"[1, 3, 5]"
italia,GA,1,105.0,0.5,0.15,0.2,32.31817889213562,0,0,3,1,"[1, 3, 5]"
