Dataset,Algorithm,Run_ID,Best_Fitness,Info_Loss,Accuracy_Original,Accuracy_After,Execution_Time_s,K_Violations,L_Violations,Iterations,Success,Solution_Vector,Fitness_History
italia,PSO,1,107.77777777777776,0.5555555555555555,0.15,0.2,18.23854899406433,0,0,5,1,"[1, 3, 6]","[2123.333333333333, 120.55555555555556, 120.55555555555556, 110.55555555555556, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777, 107.77777777777777]"
italia,GA,1,105.0,0.5,0.15,0.2,21.168719053268436,0,0,8,1,"[1, 3, 5]","[2123.333333333333, 120.55555555555556, 120.55555555555556, 120.55555555555556, 120.55555555555556, 117.77777777777777, 117.77777777777777, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0]"
italia,ARO-APO,1,105.0,0.5,0.15,0.2,28.429188013076782,0,0,2,1,"[1, 3, 5]","[117.77777777777777, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0]"
cmc,PSO,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,16.206385612487793,0,0,1,1,"[2, 2, 2]","[36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299]"
cmc,GA,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,17.567989826202393,0,0,2,1,"[2, 2, 2]","[41.60075329566855, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299]"
cmc,ARO-APO,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,43.57362318038941,0,0,4,1,"[2, 2, 2]","[41.60075329566855, 41.60075329566855, 41.60075329566855, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299, 36.04519774011299]"
mgm,PSO,1,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,14.13788104057312,0,0,2,1,"[4, 2, 0, 1, 1]","[22043.31325301205, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048]"
mgm,GA,1,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,16.245458841323853,0,0,4,1,"[4, 2, 0, 1, 1]","[22043.31325301205, 5068.1024096385545, 5068.1024096385545, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048]"
mgm,ARO-APO,1,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,45.30951833724976,0,0,8,1,"[4, 2, 0, 1, 1]","[1060.9638554216867, 1060.9638554216867, 1060.9638554216867, 1060.9638554216867, 1060.9638554216867, 1060.9638554216867, 1060.9638554216867, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048, 65.78313253012048]"
cahousing,PSO,1,58.8953488372093,0.8,0.9680232558139537,0.811046511627907,279.4581677913666,0,0,3,1,"[4, 3, 3, 4, 2]","[583030.8624031008, 2056.3226744186045, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093, 58.8953488372093]"
