Dataset,Algorithm,Best_Fitness_mean,Best_Fitness_std,Accuracy_After_mean,Accuracy_After_std,Execution_Time_s_mean,Execution_Time_s_std,Iterations_mean,Success_mean
adult,ARO-APO,1025.0,,1.0,,615.764452457428,,10.0,0.0
adult,GA,1025.0,,1.0,,189.9925184249878,,9.0,0.0
adult,PSO,15022.222222222224,,1.0,,140.9516077041626,,3.0,0.0
cahousing,ARO-APO,56.73449612403101,,0.8076550387596899,,795.609955072403,,8.0,1.0
cahousing,GA,56.73449612403101,,0.8076550387596899,,299.5306260585785,,4.0,1.0
cahousing,PSO,58.8953488372093,,0.811046511627907,,279.4581677913666,,3.0,1.0
cmc,ARO-APO,36.04519774011299,,0.9728813559322034,,43.57362318038941,,4.0,1.0
cmc,GA,36.04519774011299,,0.9728813559322034,,17.567989826202393,,2.0,1.0
cmc,PSO,36.04519774011299,,0.9728813559322034,,16.206385612487793,,1.0,1.0
italia,ARO-APO,105.0,,0.2,,28.429188013076782,,2.0,1.0
italia,GA,105.0,,0.2,,21.168719053268436,,8.0,1.0
italia,PSO,107.77777777777776,,0.2,,18.23854899406433,,5.0,1.0
medical,ARO-APO,82.39980392156863,,0.4211,,4488.428224802017,,30.0,1.0
medical,GA,81.90960784313725,,0.4211,,2269.9903235435486,,35.0,1.0
medical,PSO,501081.4092156863,,0.4163,,738.6329145431519,,7.0,0.0
mgm,ARO-APO,65.78313253012048,,0.5421686746987951,,45.30951833724976,,8.0,1.0
mgm,GA,65.78313253012048,,0.5421686746987951,,16.245458841323853,,4.0,1.0
mgm,PSO,65.78313253012048,,0.5421686746987951,,14.13788104057312,,2.0,1.0
